0,33034,12169,68440,36728,1597699,99778,2386,1316,820818
0,1631144,99793,63540,2236,33243,80062,2975,1382,137209
0,281621,2565187,39122,119614,36269,25156,13239,5866,310615
0,138227,73908,1332167,34537,699914,223148,4242,4637,417990
0,13900,235058,38311,5788830,74621,38399,19087,4084,734475
0,113934,51213,416427,266555,9715353,328844,6291,8610,2151782
0,122355,26495,106837,39200,120443,18442370,6521,8154,3132492
0,5749,6925,1803,5976,2010,4114,123994,929,48763
0,16284,9683,967,140,4433,5932,2132,150896,31017
0,325863,307113,313625,500908,682452,1511729,37938,29848,60773525
